ID,obs1,obs2
24,0.47328053716872187,871.0458491593655
78,0.43789520147525984,69.79859552190185
25,0.7240938774520131,4430.113832841883
36,0.5482675750379318,84.82172582528285
16,0.7723041413949334,1.960672694512407
8,0.713700350640649,2.861215670468544
85,0.04913934844335921,2.3764603037336305
36,0.9010823887670598,476.9315494884283
61,0.783327340395516,1134.9312608739003
57,0.472427008164485,3869.482485068032
63,0.7532993708684802,11.55552877829381
55,0.00582519561844308,17.870029359906646
55,0.1757269069209576,238.23299705587834
100,0.022908828373174428,164.04410395872824
25,0.04444843867064141,2361.5851283994107
61,0.622628487246192,50.680586089931055
1,0.13113664337553466,123.7624593412444
51,0.010539988265308553,11.486469331672735
88,0.2028142659106622,63.88849282574913
25,0.4943590491091232,236.3590071634948
39,0.361063555529777,64.16438097608687
99,0.5637933160477168,11531.301211398037
95,0.30068065091414575,7.635842508602239
84,0.5474044565611644,3655.1675566317504
59,0.8530337272524249,49.75052880451029
68,0.14710763794002846,177.5523901672141
50,0.019361559717238297,152.17320983173678
91,0.8750739527048276,35.67666408149143
4,0.8926991411736328,15.110106233907043
55,0.41018692602233464,1.646064939574144
